Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,
78.42,2517.0440903258327,0.3106315711599481,-2.58908379001881,-10.177877855957634,-2.0061007677848366,-1.554575668143389,-2.5286921337688195,
78.44,2515.6763810251405,0.28584475974145157,-2.592441502305425,-10.177766533786267,-2.0064050139312277,-1.554603545181739,-2.5377515128080437,
78.46,2514.3087611735505,0.2610297331472677,-2.5955603829564837,-10.177655843654907,-2.006701322039597,-1.5546312166620424,-2.5468165428771075,
78.48,2512.941230760891,0.23618771315301076,-2.5984399979318464,-10.177545758462307,-2.006989738020928,-1.5546586818444355,-2.555887178560279,
78.5,2511.573789776998,0.21131999300910406,-2.6010799322342186,-10.177436257190877,-2.007270306016287,-1.5546859400252668,-2.5649633760560597,
78.52,2510.2064382117214,0.18642796900745126,-2.603479800359989,-10.177327324839299,-2.0075430691115024,-1.5547129905464243,-2.5740450926181007,
78.54,2508.839176054921,0.16151316398636856,-2.605639255004439,-10.177218953989067,-2.0078080700152503,-1.554739832802901,-2.5831322860165424,
78.56,2507.4720032964724,0.13657724280062877,-2.6075579938267213,-10.177111139340548,-2.0080653516757647,-1.5547664662484297,-2.5922249140404086,
78.58,2506.104919926259,0.11162202026881009,-2.6092357643144246,-10.17700388262026,-2.008314957818581,-1.5547928903991566,-2.601322934056156,
78.6,2504.7379259341747,0.08664946209334926,-2.6106723667872096,-10.176897188187686,-2.00855693339403,-1.55481910483538,-2.6104263026322028,
78.62,2503.371021310128,0.06166167968542058,-2.611867655675137,-10.176791062883712,-2.008791324929068,-1.5548451092014621,-2.619534975234672,
78.64,2502.004206044034,0.03666091984108422,-2.6128215392881273,-10.176685515021967,-2.0090181807836003,-1.5548709032040053,-2.628648905995321,
78.66,2500.6374801258175,0.011649550324622431,-2.6135339782699814,-10.176580555684207,-2.0092375513157887,-1.554896486608513,-2.6377680475487724,
78.68,2499.2708435454083,-0.013369957589567638,-2.6140049829843415,-10.176476195400966,-2.0094494889644126,-1.554921859234821,-2.646892350933517,
78.7,2497.904296292749,-0.03839504851089949,-2.6142346101459593,-10.176372444501183,-2.0096540482589806,-1.554947020951464,-2.656021765549033,
78.72,2496.5378383577845,-0.06342310327693271,-2.6142229588689596,-10.17626931235438,-2.0098512857700292,-1.5549719716693111,-2.665156239159923,
78.74,2495.171469730466,-0.08845145933350378,-2.613970166449937,-10.176166806814221,-2.010041260012889,-1.554996711334791,-2.674295717937137,
78.76,2493.8051904007457,-0.11347743034924103,-2.6134764040514926,-10.176064936041339,-2.010224031318218,-1.5550212399228742,-2.683440146526465,
78.78,2492.439000358586,-0.13849832440648546,-2.6127418725054805,-10.1759637057351,-2.0103996616821935,-1.555045557430116,-2.6925894681346527,
78.8,2491.0728995939457,-0.16351146022999427,-2.6117667983891706,-10.17586311978274,-2.0105682146079666,-1.5550696638680799,-2.7017436246245925,
78.82,2489.7068880967877,-0.18851418108987472,-2.6105514304882735,-10.175763180367507,-2.0107297549485157,-1.5550935592571564,-2.7109025566118374,
78.84,2488.340965857076,-0.21350386610550182,-2.6090960367536846,-10.175663889834231,-2.010884348759419,-1.555117243621141,-2.7200662035563163,
78.86,2486.9751328647744,-0.2384779389085225,-2.60740090177943,-10.175565246029954,-2.011032063167901,-1.555140716982492,-2.7292345038444314,
78.88,2485.609389109845,-0.263433873574757,-2.6054663248770162,-10.175467250198276,-2.011172966262823,-1.5551639793585919,-2.7384073948581817,
78.9,2484.2437345822523,-0.2883691980731353,-2.603292618675587,-10.175369898723561,-2.0113071270081613,-1.5551870307587976,-2.747584813029393,
78.92,2482.878169271957,-0.3132814953040241,-2.60088010826964,-10.175273189996554,-2.0114346151809883,-1.5552098711825437,-2.7567666938784363,
78.94,2481.512693168921,-0.33816840208464966,-2.5982291308677277,-10.175177120808314,-2.0115555013332997,-1.555232500618244,-2.7659529720378537,
78.96,2480.1473062631003,-0.3630276063654363,-2.5953400358478156,-10.175081687328806,-2.011669856775933,-1.55525491904311,-2.77514358126231,
78.98,2478.7820085444546,-0.3878568429957443,-2.5922131851887853,-10.17498688739861,-2.0117777535816366,-1.555277126423724,-2.7843384544269165,
79.0,2477.4168000029367,-0.41265388846479073,-2.5888489541627835,-10.17489271780962,-2.0118792646039,-1.5552991227172546,-2.7935375235164646,
79.02,2476.051680628498,-0.43741655490674203,-2.585247732273583,-10.174799175200269,-2.0119744635075154,-1.5553209078732837,-2.8027407196083796,
79.04,2474.68665041109,-0.46214268370865697,-2.581409924281738,-10.17470625824947,-2.012063424806792,-1.555342481836003,-2.811947972852242,
79.06,2473.321709340661,-0.48683013908496264,-2.5773359513292498,-10.174613964853055,-2.012146223907498,-1.5553638445467812,-2.8211592124485967,
79.08,2471.956857407155,-0.5114768018222747,-2.5730262520541802,-10.174522292918232,-2.0122229371487954,-1.5553849959468689,-2.830374366629685,
79.1,2470.592094600515,-0.5360805634454467,-2.5684812836602533,-10.174431242460994,-2.012293641841812,-1.5554059359802521,-2.8395933626439414,
79.12,2469.2274209106827,-0.5606393209996138,-2.5637015228810327,-10.17434081269866,-2.012358416302253,-1.5554266645963462,-2.848816126746197,
79.14,2467.8628363275943,-0.5851509725775643,-2.5586874668453246,-10.174251002761437,-2.0124173398748613,-1.555447181752693,-2.858042584194767,
79.16,2466.4983408411854,-0.6096134136277092,-2.5534396337643024,-10.174161813737609,-2.012470492948314,-1.5554674874173682,-2.8672726592559146,
79.18,2465.1339344413877,-0.6340245341858538,-2.547958563488987,-10.174073245717802,-2.01251795695978,-1.5554875815711373,-2.876506275216206,
79.2,2463.769617118133,-0.6583822169405358,-2.5422448178826835,-10.173985298224913,-2.0125598143888803,-1.5555074642093472,-2.8857433544023623,
79.22,2462.4053888658145,-0.6862376161969103,-2.5345637353502197,-10.1739218118603,-2.0125992158580743,-1.5555272068464772,-2.894981561418627,
79.24,2461.041249699399,-0.7310232877343164,-2.5201954479615525,-10.173994556280691,-2.012653446785761,-1.5555472125367575,-2.9042081745430153,
79.26,2459.6771996460134,-0.7876829724644627,-2.5064106921245437,-10.174275705276418,-2.0127481763111787,-1.555568089942293,-2.9134043745858365,
